"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"gabe vincent","500+","October 5, 2024 at 12:10:00 AM UTC-4","October 5, 2024 at 7:00:00 AM UTC-4","gabe vincent","https://trends.google.com/trends/explore?q=gabe%20vincent&geo=US&hl=en"
"becky hammon","1K+","October 4, 2024 at 10:40:00 PM UTC-4","October 5, 2024 at 12:30:00 AM UTC-4","becky hammon","https://trends.google.com/trends/explore?q=becky%20hammon&geo=US&hl=en"
"mike tyson","1K+","October 5, 2024 at 12:20:00 AM UTC-4","October 5, 2024 at 1:30:00 AM UTC-4","mike tyson","https://trends.google.com/trends/explore?q=mike%20tyson&geo=US&hl=en"
"gen x","500+","October 5, 2024 at 6:40:00 AM UTC-4","October 5, 2024 at 9:50:00 AM UTC-4","gen x","https://trends.google.com/trends/explore?q=gen%20x&geo=US&hl=en"
"malcolm gladwell","1K+","October 5, 2024 at 12:00:00 AM UTC-4","October 5, 2024 at 12:50:00 AM UTC-4","malcolm gladwell","https://trends.google.com/trends/explore?q=malcolm%20gladwell&geo=US&hl=en"
"carlos alcaraz","2K+","October 5, 2024 at 1:30:00 AM UTC-4","October 5, 2024 at 2:00:00 AM UTC-4","carlos alcaraz,shang juncheng","https://trends.google.com/trends/explore?q=carlos%20alcaraz&geo=US&hl=en"
"barry odom","1K+","October 4, 2024 at 10:30:00 PM UTC-4","October 5, 2024 at 1:20:00 AM UTC-4","barry odom","https://trends.google.com/trends/explore?q=barry%20odom&geo=US&hl=en"
"yellow jackets","1K+","October 4, 2024 at 9:00:00 PM UTC-4","October 5, 2024 at 2:00:00 AM UTC-4","yellow jackets","https://trends.google.com/trends/explore?q=yellow%20jackets&geo=US&hl=en"
"pharrell williams","500+","October 5, 2024 at 8:40:00 AM UTC-4","October 5, 2024 at 10:00:00 AM UTC-4","pharrell williams","https://trends.google.com/trends/explore?q=pharrell%20williams&geo=US&hl=en"
"jaxson hayes","1K+","October 4, 2024 at 11:30:00 PM UTC-4","October 5, 2024 at 2:00:00 AM UTC-4","jaxson hayes","https://trends.google.com/trends/explore?q=jaxson%20hayes&geo=US&hl=en"
"aaron ramsdale","200+","October 5, 2024 at 10:20:00 AM UTC-4","October 5, 2024 at 11:20:00 AM UTC-4","aaron ramsdale","https://trends.google.com/trends/explore?q=aaron%20ramsdale&geo=US&hl=en"
"blackhawks","2K+","October 4, 2024 at 8:50:00 PM UTC-4","October 4, 2024 at 9:50:00 PM UTC-4","blackhawks,minnesota wild,chicago blackhawks","https://trends.google.com/trends/explore?q=blackhawks&geo=US&hl=en"
"montana rancher giant hybrid sheep","1K+","October 4, 2024 at 7:30:00 PM UTC-4","October 4, 2024 at 9:10:00 PM UTC-4","montana rancher giant hybrid sheep","https://trends.google.com/trends/explore?q=montana%20rancher%20giant%20hybrid%20sheep&geo=US&hl=en"
"antonio gibson","1K+","October 4, 2024 at 8:40:00 PM UTC-4","October 4, 2024 at 11:10:00 PM UTC-4","antonio gibson","https://trends.google.com/trends/explore?q=antonio%20gibson&geo=US&hl=en"
"bj novak","1K+","October 4, 2024 at 9:40:00 PM UTC-4","October 5, 2024 at 12:10:00 AM UTC-4","bj novak","https://trends.google.com/trends/explore?q=bj%20novak&geo=US&hl=en"
"zach top","1K+","October 4, 2024 at 10:00:00 PM UTC-4","October 5, 2024 at 11:20:00 AM UTC-4","zach top","https://trends.google.com/trends/explore?q=zach%20top&geo=US&hl=en"
"david spade","500+","October 5, 2024 at 1:40:00 AM UTC-4","October 5, 2024 at 4:40:00 AM UTC-4","david spade","https://trends.google.com/trends/explore?q=david%20spade&geo=US&hl=en"
"katie price","200+","October 5, 2024 at 6:10:00 AM UTC-4","October 5, 2024 at 8:20:00 AM UTC-4","katie price","https://trends.google.com/trends/explore?q=katie%20price&geo=US&hl=en"
"las vegas news","500+","October 5, 2024 at 3:00:00 AM UTC-4","October 5, 2024 at 6:30:00 AM UTC-4","las vegas news","https://trends.google.com/trends/explore?q=las%20vegas%20news&geo=US&hl=en"
"taylor rooks","200+","October 5, 2024 at 8:40:00 AM UTC-4","October 5, 2024 at 9:40:00 AM UTC-4","taylor rooks","https://trends.google.com/trends/explore?q=taylor%20rooks&geo=US&hl=en"
"greg gutfeld","1K+","October 4, 2024 at 10:30:00 PM UTC-4","October 4, 2024 at 11:30:00 PM UTC-4","greg gutfeld,sunny hostin","https://trends.google.com/trends/explore?q=greg%20gutfeld&geo=US&hl=en"
"will reeve","200+","October 5, 2024 at 8:20:00 AM UTC-4","October 5, 2024 at 9:20:00 AM UTC-4","will reeve","https://trends.google.com/trends/explore?q=will%20reeve&geo=US&hl=en"
"fort bragg","1K+","October 4, 2024 at 7:00:00 PM UTC-4","October 4, 2024 at 9:20:00 PM UTC-4","fort bragg","https://trends.google.com/trends/explore?q=fort%20bragg&geo=US&hl=en"
"اسماعیل قاآنی","200+","October 5, 2024 at 7:00:00 AM UTC-4","October 5, 2024 at 8:30:00 AM UTC-4","اسماعیل قاآنی","https://trends.google.com/trends/explore?q=%D8%A7%D8%B3%D9%85%D8%A7%D8%B9%DB%8C%D9%84%20%D9%82%D8%A7%D8%A2%D9%86%DB%8C&geo=US&hl=en"
"san francisco 49ers uniforms","200+","October 5, 2024 at 8:50:00 AM UTC-4","October 5, 2024 at 9:50:00 AM UTC-4","san francisco 49ers uniforms","https://trends.google.com/trends/explore?q=san%20francisco%2049ers%20uniforms&geo=US&hl=en"
"armel traore","500+","October 5, 2024 at 12:20:00 AM UTC-4","October 5, 2024 at 2:30:00 AM UTC-4","armel traore","https://trends.google.com/trends/explore?q=armel%20traore&geo=US&hl=en"
"weather houston","200+","October 5, 2024 at 9:50:00 AM UTC-4","October 5, 2024 at 10:50:00 AM UTC-4","weather houston","https://trends.google.com/trends/explore?q=weather%20houston&geo=US&hl=en"
"james carville","1K+","October 4, 2024 at 8:00:00 PM UTC-4","October 4, 2024 at 9:00:00 PM UTC-4","james carville","https://trends.google.com/trends/explore?q=james%20carville&geo=US&hl=en"
"wynonna judd","1K+","October 4, 2024 at 8:40:00 PM UTC-4","October 4, 2024 at 10:40:00 PM UTC-4","wynonna judd","https://trends.google.com/trends/explore?q=wynonna%20judd&geo=US&hl=en"
"corey feldman","200+","October 5, 2024 at 10:00:00 AM UTC-4","October 5, 2024 at 10:40:00 AM UTC-4","corey feldman","https://trends.google.com/trends/explore?q=corey%20feldman&geo=US&hl=en"
"terrance ferguson","1K+","October 4, 2024 at 10:00:00 PM UTC-4","October 5, 2024 at 12:20:00 AM UTC-4","terrance ferguson","https://trends.google.com/trends/explore?q=terrance%20ferguson&geo=US&hl=en"
"online pharmacy","200+","October 5, 2024 at 8:00:00 AM UTC-4","October 5, 2024 at 9:00:00 AM UTC-4","online pharmacy","https://trends.google.com/trends/explore?q=online%20pharmacy&geo=US&hl=en"
"jesse watters","2K+","October 4, 2024 at 5:50:00 PM UTC-4","October 4, 2024 at 9:20:00 PM UTC-4","jesse watters,kayleigh mcenany","https://trends.google.com/trends/explore?q=jesse%20watters&geo=US&hl=en"
"whittier high school","1K+","October 4, 2024 at 4:50:00 PM UTC-4","October 4, 2024 at 6:50:00 PM UTC-4","whittier high school","https://trends.google.com/trends/explore?q=whittier%20high%20school&geo=US&hl=en"
"vince gill","1K+","October 4, 2024 at 7:40:00 PM UTC-4","October 4, 2024 at 8:50:00 PM UTC-4","vince gill,covers","https://trends.google.com/trends/explore?q=vince%20gill&geo=US&hl=en"
"ricky white","1K+","October 4, 2024 at 11:50:00 PM UTC-4","October 5, 2024 at 1:00:00 AM UTC-4","ricky white,ricky white iii,ricky white unlv","https://trends.google.com/trends/explore?q=ricky%20white&geo=US&hl=en"
"dijonai carrington","1K+","October 4, 2024 at 8:10:00 PM UTC-4","October 4, 2024 at 9:00:00 PM UTC-4","dijonai carrington","https://trends.google.com/trends/explore?q=dijonai%20carrington&geo=US&hl=en"
"laura ingraham","1K+","October 4, 2024 at 7:20:00 PM UTC-4","October 5, 2024 at 5:00:00 AM UTC-4","laura ingraham","https://trends.google.com/trends/explore?q=laura%20ingraham&geo=US&hl=en"
"chelsea green","1K+","October 4, 2024 at 8:40:00 PM UTC-4","October 4, 2024 at 9:50:00 PM UTC-4","chelsea green,michin","https://trends.google.com/trends/explore?q=chelsea%20green&geo=US&hl=en"
"emma stone","1K+","October 4, 2024 at 8:40:00 PM UTC-4","October 4, 2024 at 10:00:00 PM UTC-4","emma stone","https://trends.google.com/trends/explore?q=emma%20stone&geo=US&hl=en"
"norwich city vs hull city","200+","October 5, 2024 at 8:00:00 AM UTC-4","October 5, 2024 at 9:10:00 AM UTC-4","norwich city vs hull city","https://trends.google.com/trends/explore?q=norwich%20city%20vs%20hull%20city&geo=US&hl=en"
"good morning america","200+","October 5, 2024 at 9:20:00 AM UTC-4","October 5, 2024 at 10:00:00 AM UTC-4","good morning america","https://trends.google.com/trends/explore?q=good%20morning%20america&geo=US&hl=en"
"alysha clark","1K+","October 4, 2024 at 10:20:00 PM UTC-4","October 5, 2024 at 12:00:00 AM UTC-4","alysha clark","https://trends.google.com/trends/explore?q=alysha%20clark&geo=US&hl=en"
"nhl network","200+","October 5, 2024 at 10:30:00 AM UTC-4","October 5, 2024 at 11:10:00 AM UTC-4","nhl network","https://trends.google.com/trends/explore?q=nhl%20network&geo=US&hl=en"
"diddy mugshot","500+","October 5, 2024 at 1:40:00 AM UTC-4","October 5, 2024 at 5:10:00 AM UTC-4","diddy mugshot","https://trends.google.com/trends/explore?q=diddy%20mugshot&geo=US&hl=en"
"yellowjackets season 3","500+","October 5, 2024 at 1:00:00 AM UTC-4","October 5, 2024 at 3:00:00 AM UTC-4","yellowjackets season 3","https://trends.google.com/trends/explore?q=yellowjackets%20season%203&geo=US&hl=en"
"maya hawke","200+","October 5, 2024 at 5:10:00 AM UTC-4","October 5, 2024 at 7:10:00 AM UTC-4","maya hawke","https://trends.google.com/trends/explore?q=maya%20hawke&geo=US&hl=en"
"brandon nakashima","500+","October 5, 2024 at 1:50:00 AM UTC-4","October 5, 2024 at 3:20:00 AM UTC-4","brandon nakashima","https://trends.google.com/trends/explore?q=brandon%20nakashima&geo=US&hl=en"
"rudy giuliani","1K+","October 4, 2024 at 4:50:00 PM UTC-4","October 4, 2024 at 5:50:00 PM UTC-4","rudy giuliani","https://trends.google.com/trends/explore?q=rudy%20giuliani&geo=US&hl=en"
"dondré whitfield","1K+","October 4, 2024 at 7:00:00 PM UTC-4","October 4, 2024 at 9:00:00 PM UTC-4","dondré whitfield","https://trends.google.com/trends/explore?q=dondr%C3%A9%20whitfield&geo=US&hl=en"
"joe ingles","500+","October 4, 2024 at 11:10:00 PM UTC-4","October 5, 2024 at 12:30:00 AM UTC-4","joe ingles","https://trends.google.com/trends/explore?q=joe%20ingles&geo=US&hl=en"
"tom segura","1K+","October 4, 2024 at 7:00:00 PM UTC-4","October 4, 2024 at 8:40:00 PM UTC-4","tom segura,garth brooks accuser","https://trends.google.com/trends/explore?q=tom%20segura&geo=US&hl=en"
"gerard butler","500+","October 4, 2024 at 11:00:00 PM UTC-4","October 5, 2024 at 12:40:00 AM UTC-4","gerard butler","https://trends.google.com/trends/explore?q=gerard%20butler&geo=US&hl=en"
"dante moore","500+","October 5, 2024 at 12:10:00 AM UTC-4","October 5, 2024 at 1:20:00 AM UTC-4","dante moore","https://trends.google.com/trends/explore?q=dante%20moore&geo=US&hl=en"
"mega million","200+","October 5, 2024 at 6:40:00 AM UTC-4","October 5, 2024 at 8:10:00 AM UTC-4","mega million,megamillions","https://trends.google.com/trends/explore?q=mega%20million&geo=US&hl=en"
"haley joel osment","1K+","October 4, 2024 at 6:20:00 PM UTC-4","October 4, 2024 at 11:50:00 PM UTC-4","haley joel osment","https://trends.google.com/trends/explore?q=haley%20joel%20osment&geo=US&hl=en"
"gordon sondland","1K+","October 4, 2024 at 10:50:00 PM UTC-4","October 4, 2024 at 11:50:00 PM UTC-4","gordon sondland,peter navarro","https://trends.google.com/trends/explore?q=gordon%20sondland&geo=US&hl=en"
"wkbn","200+","October 5, 2024 at 8:20:00 AM UTC-4","October 5, 2024 at 9:20:00 AM UTC-4","wkbn","https://trends.google.com/trends/explore?q=wkbn&geo=US&hl=en"
"damola adamolekun","200+","October 5, 2024 at 1:40:00 AM UTC-4","October 5, 2024 at 9:10:00 AM UTC-4","damola adamolekun","https://trends.google.com/trends/explore?q=damola%20adamolekun&geo=US&hl=en"
"marco kasper","1K+","October 4, 2024 at 7:40:00 PM UTC-4","October 4, 2024 at 8:50:00 PM UTC-4","marco kasper,detroit red wings","https://trends.google.com/trends/explore?q=marco%20kasper&geo=US&hl=en"
"jason benetti","1K+","October 4, 2024 at 9:20:00 PM UTC-4","October 4, 2024 at 10:10:00 PM UTC-4","jason benetti","https://trends.google.com/trends/explore?q=jason%20benetti&geo=US&hl=en"
"don't fall in love fest tickets","1K+","October 4, 2024 at 5:10:00 PM UTC-4","October 4, 2024 at 6:40:00 PM UTC-4","don't fall in love fest tickets","https://trends.google.com/trends/explore?q=don%27t%20fall%20in%20love%20fest%20tickets&geo=US&hl=en"
"the old man season 2","1K+","October 4, 2024 at 8:40:00 PM UTC-4","October 4, 2024 at 10:00:00 PM UTC-4","the old man season 2","https://trends.google.com/trends/explore?q=the%20old%20man%20season%202&geo=US&hl=en"
"prince","500+","October 4, 2024 at 11:50:00 PM UTC-4","October 5, 2024 at 1:00:00 AM UTC-4","prince","https://trends.google.com/trends/explore?q=prince&geo=US&hl=en"
"lego","2K+","October 4, 2024 at 10:30:00 PM UTC-4","October 4, 2024 at 11:10:00 PM UTC-4","lego","https://trends.google.com/trends/explore?q=lego&geo=US&hl=en"
"jason bateman","200+","October 5, 2024 at 6:50:00 AM UTC-4","October 5, 2024 at 8:10:00 AM UTC-4","jason bateman","https://trends.google.com/trends/explore?q=jason%20bateman&geo=US&hl=en"
"fracking","500+","October 4, 2024 at 6:50:00 PM UTC-4","October 4, 2024 at 8:00:00 PM UTC-4","fracking","https://trends.google.com/trends/explore?q=fracking&geo=US&hl=en"
"eugene vindman","500+","October 4, 2024 at 10:50:00 PM UTC-4","October 5, 2024 at 12:00:00 AM UTC-4","eugene vindman","https://trends.google.com/trends/explore?q=eugene%20vindman&geo=US&hl=en"
"elton john","500+","October 4, 2024 at 7:40:00 PM UTC-4","October 4, 2024 at 8:50:00 PM UTC-4","elton john","https://trends.google.com/trends/explore?q=elton%20john&geo=US&hl=en"
"marcello hernandez","500+","October 5, 2024 at 12:20:00 AM UTC-4","October 5, 2024 at 1:30:00 AM UTC-4","marcello hernandez","https://trends.google.com/trends/explore?q=marcello%20hernandez&geo=US&hl=en"
"louis vuitton","1K+","October 5, 2024 at 4:00:00 AM UTC-4","October 5, 2024 at 4:30:00 AM UTC-4","louis vuitton","https://trends.google.com/trends/explore?q=louis%20vuitton&geo=US&hl=en"
"jon jones","200+","October 5, 2024 at 2:00:00 AM UTC-4","October 5, 2024 at 5:30:00 AM UTC-4","jon jones","https://trends.google.com/trends/explore?q=jon%20jones&geo=US&hl=en"
"scare tactics 2024","500+","October 4, 2024 at 10:10:00 PM UTC-4","October 4, 2024 at 11:20:00 PM UTC-4","scare tactics 2024","https://trends.google.com/trends/explore?q=scare%20tactics%202024&geo=US&hl=en"
"sarah matthews","500+","October 4, 2024 at 7:20:00 PM UTC-4","October 4, 2024 at 8:30:00 PM UTC-4","sarah matthews","https://trends.google.com/trends/explore?q=sarah%20matthews&geo=US&hl=en"
"kate martin","500+","October 4, 2024 at 11:20:00 PM UTC-4","October 5, 2024 at 12:20:00 AM UTC-4","kate martin,caitlin clark europe","https://trends.google.com/trends/explore?q=kate%20martin&geo=US&hl=en"
"jack brewer","500+","October 4, 2024 at 11:10:00 PM UTC-4","October 5, 2024 at 12:10:00 AM UTC-4","jack brewer","https://trends.google.com/trends/explore?q=jack%20brewer&geo=US&hl=en"
"cory mills","200+","October 5, 2024 at 7:40:00 AM UTC-4","October 5, 2024 at 8:30:00 AM UTC-4","cory mills","https://trends.google.com/trends/explore?q=cory%20mills&geo=US&hl=en"
"seattle power outage","1K+","October 4, 2024 at 6:50:00 PM UTC-4","October 4, 2024 at 7:40:00 PM UTC-4","seattle power outage,power outage seattle,seattle city light","https://trends.google.com/trends/explore?q=seattle%20power%20outage&geo=US&hl=en"
"weezer","200+","October 5, 2024 at 2:30:00 AM UTC-4","October 5, 2024 at 4:00:00 AM UTC-4","weezer","https://trends.google.com/trends/explore?q=weezer&geo=US&hl=en"
"newt gingrich","500+","October 4, 2024 at 9:30:00 PM UTC-4","October 4, 2024 at 10:30:00 PM UTC-4","newt gingrich","https://trends.google.com/trends/explore?q=newt%20gingrich&geo=US&hl=en"
"travis barker","500+","October 4, 2024 at 10:30:00 PM UTC-4","October 4, 2024 at 11:40:00 PM UTC-4","travis barker","https://trends.google.com/trends/explore?q=travis%20barker&geo=US&hl=en"
"olivia dunne","200+","October 5, 2024 at 7:00:00 AM UTC-4","October 5, 2024 at 8:00:00 AM UTC-4","olivia dunne","https://trends.google.com/trends/explore?q=olivia%20dunne&geo=US&hl=en"
"alexei popyrin","200+","October 5, 2024 at 3:40:00 AM UTC-4","October 5, 2024 at 5:00:00 AM UTC-4","alexei popyrin","https://trends.google.com/trends/explore?q=alexei%20popyrin&geo=US&hl=en"
"errol morris","500+","October 4, 2024 at 5:50:00 PM UTC-4","October 4, 2024 at 7:00:00 PM UTC-4","errol morris","https://trends.google.com/trends/explore?q=errol%20morris&geo=US&hl=en"
"michael moore","500+","October 4, 2024 at 11:20:00 PM UTC-4","October 5, 2024 at 12:30:00 AM UTC-4","michael moore","https://trends.google.com/trends/explore?q=michael%20moore&geo=US&hl=en"
"spain","200+","October 5, 2024 at 8:00:00 AM UTC-4","October 5, 2024 at 8:50:00 AM UTC-4","spain","https://trends.google.com/trends/explore?q=spain&geo=US&hl=en"
"shell","200+","October 5, 2024 at 5:40:00 AM UTC-4","October 5, 2024 at 7:00:00 AM UTC-4","shell,booking","https://trends.google.com/trends/explore?q=shell&geo=US&hl=en"
"anna paulina luna","1K+","October 4, 2024 at 7:30:00 PM UTC-4","October 4, 2024 at 8:30:00 PM UTC-4","anna paulina luna","https://trends.google.com/trends/explore?q=anna%20paulina%20luna&geo=US&hl=en"
"courtney vandersloot","500+","October 4, 2024 at 10:10:00 PM UTC-4","October 4, 2024 at 11:00:00 PM UTC-4","courtney vandersloot","https://trends.google.com/trends/explore?q=courtney%20vandersloot&geo=US&hl=en"
"pge outage","200+","October 5, 2024 at 4:00:00 AM UTC-4","October 5, 2024 at 4:40:00 AM UTC-4","pge outage","https://trends.google.com/trends/explore?q=pge%20outage&geo=US&hl=en"
"pa and ma's backyard bbq","500+","October 4, 2024 at 9:30:00 PM UTC-4","October 4, 2024 at 10:30:00 PM UTC-4","pa and ma's backyard bbq","https://trends.google.com/trends/explore?q=pa%20and%20ma%27s%20backyard%20bbq&geo=US&hl=en"
"cpl 2024","500+","October 4, 2024 at 7:10:00 PM UTC-4","October 4, 2024 at 8:10:00 PM UTC-4","cpl 2024","https://trends.google.com/trends/explore?q=cpl%202024&geo=US&hl=en"
"ella purnell","200+","October 5, 2024 at 3:50:00 AM UTC-4","October 5, 2024 at 5:20:00 AM UTC-4","ella purnell","https://trends.google.com/trends/explore?q=ella%20purnell&geo=US&hl=en"
"presidential polls 2024","100+","October 5, 2024 at 6:30:00 AM UTC-4","October 5, 2024 at 8:20:00 AM UTC-4","presidential polls 2024","https://trends.google.com/trends/explore?q=presidential%20polls%202024&geo=US&hl=en"
"pf changs","200+","October 5, 2024 at 7:50:00 AM UTC-4","October 5, 2024 at 8:30:00 AM UTC-4","pf changs","https://trends.google.com/trends/explore?q=pf%20changs&geo=US&hl=en"
"jackie chan","500+","October 4, 2024 at 10:40:00 PM UTC-4","October 4, 2024 at 11:30:00 PM UTC-4","jackie chan","https://trends.google.com/trends/explore?q=jackie%20chan&geo=US&hl=en"
"voice","100+","October 5, 2024 at 5:50:00 AM UTC-4","October 5, 2024 at 7:10:00 AM UTC-4","voice","https://trends.google.com/trends/explore?q=voice&geo=US&hl=en"
"peacemaker","100+","October 5, 2024 at 4:30:00 AM UTC-4","October 5, 2024 at 6:00:00 AM UTC-4","peacemaker","https://trends.google.com/trends/explore?q=peacemaker&geo=US&hl=en"
"evan stewart","500+","October 4, 2024 at 10:40:00 PM UTC-4","October 4, 2024 at 11:40:00 PM UTC-4","evan stewart","https://trends.google.com/trends/explore?q=evan%20stewart&geo=US&hl=en"
"grant enfinger","500+","October 4, 2024 at 6:40:00 PM UTC-4","October 4, 2024 at 7:50:00 PM UTC-4","grant enfinger","https://trends.google.com/trends/explore?q=grant%20enfinger&geo=US&hl=en"
"emmanuel acho","500+","October 4, 2024 at 10:50:00 PM UTC-4","October 4, 2024 at 11:50:00 PM UTC-4","emmanuel acho","https://trends.google.com/trends/explore?q=emmanuel%20acho&geo=US&hl=en"
"atlantic city","500+","October 4, 2024 at 7:40:00 PM UTC-4","October 4, 2024 at 8:50:00 PM UTC-4","atlantic city","https://trends.google.com/trends/explore?q=atlantic%20city&geo=US&hl=en"
"mounjaro","100+","October 5, 2024 at 6:50:00 AM UTC-4","October 5, 2024 at 7:40:00 AM UTC-4","mounjaro","https://trends.google.com/trends/explore?q=mounjaro&geo=US&hl=en"
"amy adams","200+","October 5, 2024 at 1:20:00 AM UTC-4","October 5, 2024 at 2:30:00 AM UTC-4","amy adams","https://trends.google.com/trends/explore?q=amy%20adams&geo=US&hl=en"
"alison sweeney","200+","October 4, 2024 at 10:30:00 PM UTC-4","October 4, 2024 at 11:30:00 PM UTC-4","alison sweeney","https://trends.google.com/trends/explore?q=alison%20sweeney&geo=US&hl=en"
"miles teller","200+","October 5, 2024 at 12:50:00 AM UTC-4","October 5, 2024 at 1:30:00 AM UTC-4","miles teller","https://trends.google.com/trends/explore?q=miles%20teller&geo=US&hl=en"
"scariest house in america","500+","October 4, 2024 at 9:10:00 PM UTC-4","October 4, 2024 at 10:10:00 PM UTC-4","scariest house in america","https://trends.google.com/trends/explore?q=scariest%20house%20in%20america&geo=US&hl=en"
"matt rife","100+","October 5, 2024 at 6:20:00 AM UTC-4","October 5, 2024 at 7:20:00 AM UTC-4","matt rife","https://trends.google.com/trends/explore?q=matt%20rife&geo=US&hl=en"
"att internet outage","500+","October 4, 2024 at 7:10:00 PM UTC-4","October 4, 2024 at 8:00:00 PM UTC-4","att internet outage","https://trends.google.com/trends/explore?q=att%20internet%20outage&geo=US&hl=en"
"msn.com","200+","October 5, 2024 at 8:20:00 AM UTC-4","October 5, 2024 at 8:50:00 AM UTC-4","msn.com","https://trends.google.com/trends/explore?q=msn.com&geo=US&hl=en"
"emirates","100+","October 5, 2024 at 6:30:00 AM UTC-4","October 5, 2024 at 7:30:00 AM UTC-4","emirates","https://trends.google.com/trends/explore?q=emirates&geo=US&hl=en"
"gisele pelicot","200+","October 5, 2024 at 8:10:00 AM UTC-4","October 5, 2024 at 8:30:00 AM UTC-4","gisele pelicot","https://trends.google.com/trends/explore?q=gisele%20pelicot&geo=US&hl=en"
"jeanine pirro","500+","October 4, 2024 at 9:50:00 PM UTC-4","October 4, 2024 at 10:40:00 PM UTC-4","jeanine pirro","https://trends.google.com/trends/explore?q=jeanine%20pirro&geo=US&hl=en"
"leonie fiebich","500+","October 4, 2024 at 10:40:00 PM UTC-4","October 4, 2024 at 11:20:00 PM UTC-4","leonie fiebich","https://trends.google.com/trends/explore?q=leonie%20fiebich&geo=US&hl=en"
"storm reid","500+","October 4, 2024 at 5:00:00 PM UTC-4","October 4, 2024 at 5:50:00 PM UTC-4","storm reid","https://trends.google.com/trends/explore?q=storm%20reid&geo=US&hl=en"
"massachusetts","500+","October 4, 2024 at 7:30:00 PM UTC-4","October 4, 2024 at 8:10:00 PM UTC-4","massachusetts","https://trends.google.com/trends/explore?q=massachusetts&geo=US&hl=en"
"anaheim ducks","500+","October 4, 2024 at 10:30:00 PM UTC-4","October 4, 2024 at 11:10:00 PM UTC-4","anaheim ducks","https://trends.google.com/trends/explore?q=anaheim%20ducks&geo=US&hl=en"
"miami heat","100+","October 5, 2024 at 6:20:00 AM UTC-4","October 5, 2024 at 7:10:00 AM UTC-4","miami heat","https://trends.google.com/trends/explore?q=miami%20heat&geo=US&hl=en"
"high potential episodes","500+","October 4, 2024 at 8:50:00 PM UTC-4","October 4, 2024 at 9:20:00 PM UTC-4","high potential episodes","https://trends.google.com/trends/explore?q=high%20potential%20episodes&geo=US&hl=en"
"lacey chabert","200+","October 4, 2024 at 8:40:00 PM UTC-4","October 4, 2024 at 9:30:00 PM UTC-4","lacey chabert","https://trends.google.com/trends/explore?q=lacey%20chabert&geo=US&hl=en"
"stake","100+","October 5, 2024 at 6:00:00 AM UTC-4","October 5, 2024 at 6:40:00 AM UTC-4","stake","https://trends.google.com/trends/explore?q=stake&geo=US&hl=en"
"sa","100+","October 5, 2024 at 4:20:00 AM UTC-4","October 5, 2024 at 5:10:00 AM UTC-4","sa","https://trends.google.com/trends/explore?q=sa&geo=US&hl=en"
"steven universe","100+","October 5, 2024 at 2:50:00 AM UTC-4","October 5, 2024 at 3:50:00 AM UTC-4","steven universe","https://trends.google.com/trends/explore?q=steven%20universe&geo=US&hl=en"
"michael oher","200+","October 5, 2024 at 1:20:00 AM UTC-4","October 5, 2024 at 1:50:00 AM UTC-4","michael oher","https://trends.google.com/trends/explore?q=michael%20oher&geo=US&hl=en"
"daily beast","100+","October 5, 2024 at 6:50:00 AM UTC-4","October 5, 2024 at 7:20:00 AM UTC-4","daily beast","https://trends.google.com/trends/explore?q=daily%20beast&geo=US&hl=en"
"julie bowen","500+","October 4, 2024 at 7:20:00 PM UTC-4","October 4, 2024 at 8:00:00 PM UTC-4","julie bowen","https://trends.google.com/trends/explore?q=julie%20bowen&geo=US&hl=en"
"casa bonita","500+","October 4, 2024 at 9:40:00 PM UTC-4","October 4, 2024 at 11:10:00 PM UTC-4","casa bonita","https://trends.google.com/trends/explore?q=casa%20bonita&geo=US&hl=en"
"vnexpress","100+","October 5, 2024 at 5:50:00 AM UTC-4","October 5, 2024 at 6:40:00 AM UTC-4","vnexpress","https://trends.google.com/trends/explore?q=vnexpress&geo=US&hl=en"
"horoscope today","100+","October 5, 2024 at 6:30:00 AM UTC-4","October 5, 2024 at 7:00:00 AM UTC-4","horoscope today","https://trends.google.com/trends/explore?q=horoscope%20today&geo=US&hl=en"
"debbie mucarsel-powell","200+","October 4, 2024 at 11:20:00 PM UTC-4","October 4, 2024 at 11:50:00 PM UTC-4","debbie mucarsel-powell","https://trends.google.com/trends/explore?q=debbie%20mucarsel-powell&geo=US&hl=en"
"mac","100+","October 5, 2024 at 4:50:00 AM UTC-4","October 5, 2024 at 5:20:00 AM UTC-4","mac","https://trends.google.com/trends/explore?q=mac&geo=US&hl=en"
"san jose weather","100+","October 5, 2024 at 2:40:00 AM UTC-4","October 5, 2024 at 3:40:00 AM UTC-4","san jose weather","https://trends.google.com/trends/explore?q=san%20jose%20weather&geo=US&hl=en"
"the rock","100+","October 5, 2024 at 5:10:00 AM UTC-4","October 5, 2024 at 5:40:00 AM UTC-4","the rock,dwayne johnson","https://trends.google.com/trends/explore?q=the%20rock&geo=US&hl=en"
"the office","100+","October 5, 2024 at 4:40:00 AM UTC-4","October 5, 2024 at 5:10:00 AM UTC-4","the office","https://trends.google.com/trends/explore?q=the%20office&geo=US&hl=en"
"ca","100+","October 5, 2024 at 5:50:00 AM UTC-4","October 5, 2024 at 6:20:00 AM UTC-4","ca","https://trends.google.com/trends/explore?q=ca&geo=US&hl=en"
"laptop","100+","October 5, 2024 at 4:00:00 AM UTC-4","October 5, 2024 at 4:30:00 AM UTC-4","laptop","https://trends.google.com/trends/explore?q=laptop&geo=US&hl=en"
